{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.61, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c540e50>, 'validation_loss': 3.2116899490356445, 'training_loss': 1.7912406921386719, 'accuracy': 17.10914454277286}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.06, 'momentum': 0.77, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c79d5e0>, 'validation_loss': 3.192774772644043, 'training_loss': 0.9116950035095215, 'accuracy': 25.958702064896755}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.0001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.03, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4ca2fca0>, 'validation_loss': 3.9319071769714355, 'training_loss': 2.5306339263916016, 'accuracy': 18.289085545722713}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.04, 'momentum': 0.58, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c3c1f10>, 'validation_loss': 2.72746205329895, 'training_loss': 2.7940292358398438, 'accuracy': 14.749262536873156}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.58, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c7905e0>, 'validation_loss': 3.9357545375823975, 'training_loss': 2.9231574535369873, 'accuracy': 12.684365781710914}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 1e-05, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.02, 'momentum': 0.57, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c842f40>, 'validation_loss': 4.023181915283203, 'training_loss': 3.886828660964966, 'accuracy': 1.1799410029498525}

{'dataset_name': 'DTD', 'architecture': 'AlexNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.006, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.21, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c873190>, 'validation_loss': 3.5801990032196045, 'training_loss': 1.5591810941696167, 'accuracy': 11.2094395280236}

