{'dataset_name': 'DTD', 'architecture': 'ResNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.004, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.77, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c7e94c0>, 'validation_loss': 3.2501533031463623, 'training_loss': 2.4299674034118652, 'accuracy': 17.699115044247787}

{'dataset_name': 'DTD', 'architecture': 'ResNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.67, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c7f28e0>, 'validation_loss': 2.8389508724212646, 'training_loss': 0.22935591638088226, 'accuracy': 23.008849557522122}

{'dataset_name': 'DTD', 'architecture': 'ResNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.0003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.78, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c7d3160>, 'validation_loss': 3.6406941413879395, 'training_loss': 0.2422178089618683, 'accuracy': 16.8141592920354}

{'dataset_name': 'DTD', 'architecture': 'ResNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.1, 'momentum': 0.84, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c8d8d30>, 'validation_loss': 3.2728183269500732, 'training_loss': 0.7088649272918701, 'accuracy': 15.339233038348082}

{'dataset_name': 'DTD', 'architecture': 'ResNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.001, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.05, 'momentum': 0.77, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff43f79dc0>, 'validation_loss': 3.318192720413208, 'training_loss': 0.1647786647081375, 'accuracy': 18.58407079646018}

{'dataset_name': 'DTD', 'architecture': 'ResNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 6e-05, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.03, 'momentum': 0.9, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff4c6d2c40>, 'validation_loss': 3.949866533279419, 'training_loss': 1.1425573825836182, 'accuracy': 12.979351032448378}

{'dataset_name': 'DTD', 'architecture': 'ResNet', 'epochs': 100, 'batch_size': 64, 'learning_rate': 0.003, 'criterion': CrossEntropyLoss(), 'weight_decay': 0.04, 'momentum': 0.73, 'opt': 'sgd', 'curriculum': True, 'report_logs': False, 'should_tune': True, 'scheduler': 'R', 'scheduler_object': <Scheduler.RootP object at 0x7fff43f79670>, 'validation_loss': 3.0845913887023926, 'training_loss': 0.2111770212650299, 'accuracy': 16.8141592920354}

