{Epoch 0, Train_Loss: 0.9255117177963257, Valid_Loss: 0.9361140131950378, Accuracy: 59.82},
{Epoch 1, Train_Loss: 0.6142529249191284, Valid_Loss: 0.24181492626667023, Accuracy: 74.02},
{Epoch 2, Train_Loss: 0.6738253831863403, Valid_Loss: 0.87850022315979, Accuracy: 76.96},
{Epoch 3, Train_Loss: 0.9705019593238831, Valid_Loss: 0.8037263751029968, Accuracy: 73.3},
{Epoch 4, Train_Loss: 0.10054055601358414, Valid_Loss: 0.6916874647140503, Accuracy: 80.32},
{Epoch 5, Train_Loss: 0.39128369092941284, Valid_Loss: 0.5594993829727173, Accuracy: 77.32},
{Epoch 6, Train_Loss: 0.10567737370729446, Valid_Loss: 0.5174970626831055, Accuracy: 80.26},
{Epoch 7, Train_Loss: 0.6665910482406616, Valid_Loss: 1.6220945119857788, Accuracy: 75.72},
{Epoch 8, Train_Loss: 0.0844942182302475, Valid_Loss: 1.6892508268356323, Accuracy: 79.72},
{Epoch 9, Train_Loss: 0.14401783049106598, Valid_Loss: 1.0654284954071045, Accuracy: 80.38},
{Epoch 10, Train_Loss: 0.037801384925842285, Valid_Loss: 1.9551342725753784, Accuracy: 81.78},
{Epoch 11, Train_Loss: 0.03913967311382294, Valid_Loss: 1.4490585327148438, Accuracy: 80.76},
{Epoch 12, Train_Loss: 0.030136767774820328, Valid_Loss: 0.3248109519481659, Accuracy: 82.42},
{Epoch 13, Train_Loss: 0.6143891215324402, Valid_Loss: 2.065375566482544, Accuracy: 78.04},
{Epoch 14, Train_Loss: 0.016919255256652832, Valid_Loss: 0.8842451572418213, Accuracy: 81.54},
{Epoch 15, Train_Loss: 0.0440736748278141, Valid_Loss: 1.0044262409210205, Accuracy: 81.74},
{Epoch 16, Train_Loss: 0.40421053767204285, Valid_Loss: 0.2070942372083664, Accuracy: 79.9},
{Epoch 17, Train_Loss: 0.1828063577413559, Valid_Loss: 1.6819941997528076, Accuracy: 78.74},
{Epoch 18, Train_Loss: 0.09840400516986847, Valid_Loss: 0.029040541499853134, Accuracy: 81.44},
{Epoch 19, Train_Loss: 0.15127526223659515, Valid_Loss: 1.47032630443573, Accuracy: 80.02},
{Epoch 20, Train_Loss: 0.0026386345271021128, Valid_Loss: 0.8157811760902405, Accuracy: 83.34},
{Epoch 21, Train_Loss: 0.05593590438365936, Valid_Loss: 0.7447407245635986, Accuracy: 82.7},
{Epoch 22, Train_Loss: 0.0031003192998468876, Valid_Loss: 0.19767720997333527, Accuracy: 83.66},
{Epoch 23, Train_Loss: 0.0006343922577798367, Valid_Loss: 2.1015779972076416, Accuracy: 83.78},
{Epoch 24, Train_Loss: 0.015112193301320076, Valid_Loss: 0.11222808063030243, Accuracy: 84.48},
{Epoch 25, Train_Loss: 0.008343343622982502, Valid_Loss: 2.0255861282348633, Accuracy: 84.7},
{Epoch 26, Train_Loss: 0.012629630975425243, Valid_Loss: 0.07396072894334793, Accuracy: 84.68},
{Epoch 27, Train_Loss: 0.03782384842634201, Valid_Loss: 0.024880772456526756, Accuracy: 84.48},
{Epoch 28, Train_Loss: 0.014261437579989433, Valid_Loss: 0.21122807264328003, Accuracy: 85.52},
{Epoch 29, Train_Loss: 0.009693099185824394, Valid_Loss: 0.7423680424690247, Accuracy: 84.84},
{Epoch 30, Train_Loss: 0.0033118808642029762, Valid_Loss: 0.3183254897594452, Accuracy: 85.24},
{Epoch 31, Train_Loss: 0.043701011687517166, Valid_Loss: 0.48412850499153137, Accuracy: 84.38},
{Epoch 32, Train_Loss: 0.018510842695832253, Valid_Loss: 0.10251200199127197, Accuracy: 85.06},
{Epoch 33, Train_Loss: 0.03961501643061638, Valid_Loss: 0.06561587005853653, Accuracy: 83.84},
{Epoch 34, Train_Loss: 0.00042234512511640787, Valid_Loss: 0.33062151074409485, Accuracy: 85.14},
{Epoch 35, Train_Loss: 0.5272589325904846, Valid_Loss: 0.8543797135353088, Accuracy: 75.62},
{Epoch 36, Train_Loss: 0.025192951783537865, Valid_Loss: 0.880073606967926, Accuracy: 81.58},
{Epoch 37, Train_Loss: 0.6388120055198669, Valid_Loss: 1.1413720846176147, Accuracy: 75.46},
{Epoch 38, Train_Loss: 0.051895465701818466, Valid_Loss: 0.7100133895874023, Accuracy: 79.5},
{Epoch 39, Train_Loss: 0.9639540910720825, Valid_Loss: 1.3481776714324951, Accuracy: 76.56},
{Epoch 40, Train_Loss: 0.2515508532524109, Valid_Loss: 0.8642280697822571, Accuracy: 80.48},
{Epoch 41, Train_Loss: 0.7758452296257019, Valid_Loss: 2.0375804901123047, Accuracy: 64.5},
{Epoch 42, Train_Loss: 0.26936227083206177, Valid_Loss: 3.318967342376709, Accuracy: 78.44},
{Epoch 43, Train_Loss: 0.14118890464305878, Valid_Loss: 1.1343591213226318, Accuracy: 81.36},
{Epoch 44, Train_Loss: 0.0042386651039123535, Valid_Loss: 0.6592417359352112, Accuracy: 82.34},
{Epoch 45, Train_Loss: 0.18488547205924988, Valid_Loss: 0.7404788136482239, Accuracy: 78.92},
{Epoch 46, Train_Loss: 0.12249432504177094, Valid_Loss: 1.7651771306991577, Accuracy: 79.84},
{Epoch 47, Train_Loss: 0.3414750099182129, Valid_Loss: 0.020088128745555878, Accuracy: 79.94},
{Epoch 48, Train_Loss: 0.012268053367733955, Valid_Loss: 0.9780305027961731, Accuracy: 83.42},
{Epoch 49, Train_Loss: 0.06256909668445587, Valid_Loss: 0.7459695339202881, Accuracy: 81.76},
{Epoch 50, Train_Loss: 0.28582674264907837, Valid_Loss: 1.0752202272415161, Accuracy: 76.74},
{Epoch 51, Train_Loss: 0.09145419299602509, Valid_Loss: 0.10813239216804504, Accuracy: 80.28},
{Epoch 52, Train_Loss: 0.024835767224431038, Valid_Loss: 0.11328539252281189, Accuracy: 82.2},
{Epoch 53, Train_Loss: 0.01470961980521679, Valid_Loss: 0.8293190002441406, Accuracy: 81.7},
{Epoch 54, Train_Loss: 0.0068875825963914394, Valid_Loss: 0.6626201868057251, Accuracy: 83.12},
{Epoch 55, Train_Loss: 0.06517356634140015, Valid_Loss: 0.2118942141532898, Accuracy: 83.76},
{Epoch 56, Train_Loss: 0.012969061732292175, Valid_Loss: 1.4960107803344727, Accuracy: 83.3},
{Epoch 57, Train_Loss: 0.007875379174947739, Valid_Loss: 1.6514806747436523, Accuracy: 84.66},
{Epoch 58, Train_Loss: 0.0184476301074028, Valid_Loss: 0.16011352837085724, Accuracy: 85.1},
{Epoch 59, Train_Loss: 0.0017357608303427696, Valid_Loss: 0.22089141607284546, Accuracy: 85.42},
{Epoch 60, Train_Loss: 0.004586684983223677, Valid_Loss: 0.6861462593078613, Accuracy: 85.94},
{Epoch 61, Train_Loss: 0.00649520568549633, Valid_Loss: 1.228397011756897, Accuracy: 86.2},
{Epoch 62, Train_Loss: 0.0021723825484514236, Valid_Loss: 2.1171936988830566, Accuracy: 86.68},
{Epoch 63, Train_Loss: 0.6307332515716553, Valid_Loss: 0.9393300414085388, Accuracy: 74.0},
{Epoch 64, Train_Loss: 0.008276640437543392, Valid_Loss: 1.7780787944793701, Accuracy: 85.66},
{Epoch 65, Train_Loss: 0.0054798852652311325, Valid_Loss: 0.7502528429031372, Accuracy: 86.04},
{Epoch 66, Train_Loss: 0.01189513225108385, Valid_Loss: 0.2892516851425171, Accuracy: 86.06},
{Epoch 67, Train_Loss: 0.0667862743139267, Valid_Loss: 0.055313386023044586, Accuracy: 84.76},
{Epoch 68, Train_Loss: 0.0053582563996315, Valid_Loss: 1.5858230590820312, Accuracy: 85.68},
{Epoch 69, Train_Loss: 0.006381896790117025, Valid_Loss: 0.7865546941757202, Accuracy: 86.2},
{Epoch 70, Train_Loss: 0.0053605446591973305, Valid_Loss: 0.018078090623021126, Accuracy: 86.24},
{Epoch 71, Train_Loss: 0.004669897723942995, Valid_Loss: 0.08872624486684799, Accuracy: 86.6},
{Epoch 72, Train_Loss: 0.00706846360117197, Valid_Loss: 0.7743850350379944, Accuracy: 86.24},
{Epoch 73, Train_Loss: 0.002873295219615102, Valid_Loss: 1.418802261352539, Accuracy: 86.08},
{Epoch 74, Train_Loss: 0.004137711133807898, Valid_Loss: 0.7973904609680176, Accuracy: 84.98},
{Epoch 75, Train_Loss: 0.24573098123073578, Valid_Loss: 0.8182276487350464, Accuracy: 76.2},
{Epoch 76, Train_Loss: 0.25626644492149353, Valid_Loss: 0.8812289237976074, Accuracy: 78.64},
{Epoch 77, Train_Loss: 0.20728246867656708, Valid_Loss: 0.44639334082603455, Accuracy: 78.62},
{Epoch 78, Train_Loss: 0.30263304710388184, Valid_Loss: 0.38764700293540955, Accuracy: 77.64},
{Epoch 79, Train_Loss: 0.11914999037981033, Valid_Loss: 1.1455368995666504, Accuracy: 81.76},

{******************************Training finished**********************************},

USING TEST SET: {loss: 0.5013928413391113, acc: 78.06}
