{'dataset_name': 'Crop', 'regression': True, 'architecture': 'ViT', 'epochs': 6, 'batch_size': 512, 'learning_rate': 0.008, 'weight_decay': 0.07, 'momentum': 0.45, 'opt': 'sgd', 'curriculum': False, 'report_logs': False, 'should_tune': True, 'scheduler': 'N', 'should_restore': False, 'new_epoch': 0, 'image_shape': (3, 280, 280), 'patch_num': 7, 'block_num': 2, 'hidden_layers_transformer': 12, 'head_num': 2, 'criterion': MSELoss(), 'start_epoch': 0, 'scheduler_object': <Scheduler.Scheduler object at 0x000002A4A1B809A0>, 'validation_loss': 15.213695526123047, 'training_loss': 20.33376693725586, 'accuracy': 0.49884881043745205}

{'dataset_name': 'Crop', 'regression': True, 'architecture': 'ViT', 'epochs': 6, 'batch_size': 512, 'learning_rate': 0.01, 'weight_decay': 0.07, 'momentum': 0.41, 'opt': 'sgd', 'curriculum': False, 'report_logs': False, 'should_tune': True, 'scheduler': 'N', 'should_restore': False, 'new_epoch': 0, 'image_shape': (3, 280, 280), 'patch_num': 7, 'block_num': 2, 'hidden_layers_transformer': 12, 'head_num': 2, 'criterion': MSELoss(), 'start_epoch': 0, 'scheduler_object': <Scheduler.Scheduler object at 0x000002A4A1B813C0>, 'validation_loss': 23.312620162963867, 'training_loss': 23.688390731811523, 'accuracy': 82.38679969301612}

{'dataset_name': 'Crop', 'regression': True, 'architecture': 'ViT', 'epochs': 6, 'batch_size': 512, 'learning_rate': 0.01, 'weight_decay': 0.08, 'momentum': 0.45, 'opt': 'sgd', 'curriculum': False, 'report_logs': False, 'should_tune': True, 'scheduler': 'N', 'should_restore': False, 'new_epoch': 0, 'image_shape': (3, 280, 280), 'patch_num': 7, 'block_num': 2, 'hidden_layers_transformer': 12, 'head_num': 2, 'criterion': MSELoss(), 'start_epoch': 0, 'scheduler_object': <Scheduler.Scheduler object at 0x000002A4A1B808E0>, 'validation_loss': 19.33683204650879, 'training_loss': 22.350080490112305, 'accuracy': 82.61703760552571}

{'dataset_name': 'Crop', 'regression': True, 'architecture': 'ViT', 'epochs': 6, 'batch_size': 512, 'learning_rate': 0.006, 'weight_decay': 0.03, 'momentum': 0.45, 'opt': 'sgd', 'curriculum': False, 'report_logs': False, 'should_tune': True, 'scheduler': 'N', 'should_restore': False, 'new_epoch': 0, 'image_shape': (3, 280, 280), 'patch_num': 7, 'block_num': 2, 'hidden_layers_transformer': 12, 'head_num': 2, 'criterion': MSELoss(), 'start_epoch': 0, 'scheduler_object': <Scheduler.Scheduler object at 0x000002A4A1B80B20>, 'validation_loss': 62.40697479248047, 'training_loss': 60.88097381591797, 'accuracy': 0.1918649270913277}

{'dataset_name': 'Crop', 'regression': True, 'architecture': 'ViT', 'epochs': 6, 'batch_size': 512, 'learning_rate': 0.008, 'weight_decay': 0.03, 'momentum': 0.45, 'opt': 'sgd', 'curriculum': False, 'report_logs': False, 'should_tune': True, 'scheduler': 'N', 'should_restore': False, 'new_epoch': 0, 'image_shape': (3, 280, 280), 'patch_num': 7, 'block_num': 2, 'hidden_layers_transformer': 12, 'head_num': 2, 'criterion': MSELoss(), 'start_epoch': 0, 'scheduler_object': <Scheduler.Scheduler object at 0x000002A4A1B81180>, 'validation_loss': 48.90963363647461, 'training_loss': 48.247928619384766, 'accuracy': 0.1918649270913277}

{'dataset_name': 'Crop', 'regression': True, 'architecture': 'ViT', 'epochs': 6, 'batch_size': 512, 'learning_rate': 0.004, 'weight_decay': 0.07, 'momentum': 0.45, 'opt': 'sgd', 'curriculum': False, 'report_logs': False, 'should_tune': True, 'scheduler': 'N', 'should_restore': False, 'new_epoch': 0, 'image_shape': (3, 280, 280), 'patch_num': 7, 'block_num': 2, 'hidden_layers_transformer': 12, 'head_num': 2, 'criterion': MSELoss(), 'start_epoch': 0, 'scheduler_object': <Scheduler.Scheduler object at 0x000002A4A1B80670>, 'validation_loss': 15.917586326599121, 'training_loss': 19.99869728088379, 'accuracy': 49.04067536454336}

{'dataset_name': 'Crop', 'regression': True, 'architecture': 'ViT', 'epochs': 6, 'batch_size': 512, 'learning_rate': 0.008, 'weight_decay': 0.07, 'momentum': 0.55, 'opt': 'sgd', 'curriculum': False, 'report_logs': False, 'should_tune': True, 'scheduler': 'N', 'should_restore': False, 'new_epoch': 0, 'image_shape': (3, 280, 280), 'patch_num': 7, 'block_num': 2, 'hidden_layers_transformer': 12, 'head_num': 2, 'criterion': MSELoss(), 'start_epoch': 0, 'scheduler_object': <Scheduler.Scheduler object at 0x000002A4A1B80E50>, 'validation_loss': 22.49927520751953, 'training_loss': 19.506349563598633, 'accuracy': 0.11511895625479662}

