public_RMSE, private_RMSE
16.34082324, 17.72515891
15.18210292, 16.11365253
15.37659585, 16.78223035
16.58094903, 17.82744995
16.06751479, 17.71321363
16.93731016, 17.99824676
18.71291292, 19.76920908
17.04682800, 18.47672219
