public_RMSE, private_RMSE
19.53731984, 20.40273744
18.39760891, 19.52711095
19.67591578, 20.37815009
19.10175624, 20.21695392
19.17707595, 20.37664397
19.18613084, 20.38684941
19.19160382, 20.38607545
18.39527210, 19.42791078
