{Epoch 0, Train_Loss: 1.242374300956726, Valid_Loss: 1.1821277141571045, Accuracy: 47.32},
{Epoch 1, Train_Loss: 1.3245365619659424, Valid_Loss: 1.3008747100830078, Accuracy: 57.66},
{Epoch 2, Train_Loss: 1.3182262182235718, Valid_Loss: 0.9913969039916992, Accuracy: 64.24},
{Epoch 3, Train_Loss: 2.288970470428467, Valid_Loss: 1.0416076183319092, Accuracy: 67.52},
{Epoch 4, Train_Loss: 1.1268187761306763, Valid_Loss: 0.4744100272655487, Accuracy: 69.84},
{Epoch 5, Train_Loss: 0.9601699709892273, Valid_Loss: 1.1404638290405273, Accuracy: 73.84},
{Epoch 6, Train_Loss: 1.067312240600586, Valid_Loss: 0.8439397811889648, Accuracy: 76.0},
{Epoch 7, Train_Loss: 0.5066471695899963, Valid_Loss: 0.9210888147354126, Accuracy: 76.76},
{Epoch 8, Train_Loss: 0.5221450924873352, Valid_Loss: 1.3542766571044922, Accuracy: 77.26},
{Epoch 9, Train_Loss: 0.5332749485969543, Valid_Loss: 0.9212204813957214, Accuracy: 76.8},
{Epoch 10, Train_Loss: 0.5078638195991516, Valid_Loss: 0.1281474530696869, Accuracy: 76.92},
{Epoch 11, Train_Loss: 0.03844767063856125, Valid_Loss: 1.031868577003479, Accuracy: 76.28},
{Epoch 12, Train_Loss: 0.18837107717990875, Valid_Loss: 1.6509510278701782, Accuracy: 76.48},
{Epoch 13, Train_Loss: 1.0193735361099243, Valid_Loss: 1.0780266523361206, Accuracy: 76.72},
{Epoch 14, Train_Loss: 0.017253870144486427, Valid_Loss: 1.0171072483062744, Accuracy: 77.18},
{Epoch 15, Train_Loss: 0.6731486320495605, Valid_Loss: 1.3401597738265991, Accuracy: 78.04},
{Epoch 16, Train_Loss: 0.21765102446079254, Valid_Loss: 0.775358259677887, Accuracy: 77.3},
{Epoch 17, Train_Loss: 0.10407058894634247, Valid_Loss: 0.12749134004116058, Accuracy: 78.04},
{Epoch 18, Train_Loss: 0.09212324023246765, Valid_Loss: 1.954924464225769, Accuracy: 79.36},
{Epoch 19, Train_Loss: 0.10479207336902618, Valid_Loss: 0.7232909798622131, Accuracy: 79.24},
{Epoch 20, Train_Loss: 0.0059812068939208984, Valid_Loss: 0.6537213325500488, Accuracy: 79.72},
{Epoch 21, Train_Loss: 0.17287036776542664, Valid_Loss: 0.5745108127593994, Accuracy: 79.74},
{Epoch 22, Train_Loss: 0.0669158324599266, Valid_Loss: 1.2899563312530518, Accuracy: 79.0},
{Epoch 23, Train_Loss: 0.4421878457069397, Valid_Loss: 0.3647283613681793, Accuracy: 79.52},
{Epoch 24, Train_Loss: 0.4777725040912628, Valid_Loss: 1.1874866485595703, Accuracy: 77.88},
{Epoch 25, Train_Loss: 0.41642194986343384, Valid_Loss: 1.5547621250152588, Accuracy: 77.46},
{Epoch 26, Train_Loss: 0.8274088501930237, Valid_Loss: 0.47236180305480957, Accuracy: 77.2},
{Epoch 27, Train_Loss: 0.29671353101730347, Valid_Loss: 0.42028534412384033, Accuracy: 77.74},
{Epoch 28, Train_Loss: 0.7983919382095337, Valid_Loss: 1.0505671501159668, Accuracy: 77.94},
{Epoch 29, Train_Loss: 0.495137095451355, Valid_Loss: 1.362146258354187, Accuracy: 78.14},
{Epoch 30, Train_Loss: 0.7478846907615662, Valid_Loss: 0.49876588582992554, Accuracy: 78.3},
{Epoch 31, Train_Loss: 0.03676300495862961, Valid_Loss: 1.5152052640914917, Accuracy: 79.16},
{Epoch 32, Train_Loss: 0.013540797866880894, Valid_Loss: 1.6884971857070923, Accuracy: 80.6},
{Epoch 33, Train_Loss: 0.0021373219788074493, Valid_Loss: 1.2337106466293335, Accuracy: 80.86},
{Epoch 34, Train_Loss: 0.29567819833755493, Valid_Loss: 0.4668448865413666, Accuracy: 80.48},
{Epoch 35, Train_Loss: 0.5238130688667297, Valid_Loss: 1.2625420093536377, Accuracy: 79.66},
{Epoch 36, Train_Loss: 0.07122635096311569, Valid_Loss: 0.4031199514865875, Accuracy: 79.7},
