{Epoch 0, Train_Loss: 0.19022004306316376, Valid_Loss: 4.33718204498291, Accuracy: 19.860627177700348},
{Epoch 1, Train_Loss: 0.20336700975894928, Valid_Loss: 4.7146525382995605, Accuracy: 17.770034843205575},
{Epoch 2, Train_Loss: 0.06807146221399307, Valid_Loss: 4.985275745391846, Accuracy: 18.118466898954704},
{Epoch 3, Train_Loss: 0.052969254553318024, Valid_Loss: 4.737795352935791, Accuracy: 19.51219512195122},
{Epoch 4, Train_Loss: 0.0205459613353014, Valid_Loss: 4.726202487945557, Accuracy: 21.951219512195124},
{Epoch 5, Train_Loss: 0.03279354050755501, Valid_Loss: 5.18466854095459, Accuracy: 20.905923344947734},
{Epoch 6, Train_Loss: 0.02404075115919113, Valid_Loss: 4.676152229309082, Accuracy: 21.60278745644599},
{Epoch 7, Train_Loss: 0.014777512289583683, Valid_Loss: 5.266946792602539, Accuracy: 20.557491289198605},
{Epoch 8, Train_Loss: 0.02584042213857174, Valid_Loss: 4.9330644607543945, Accuracy: 22.299651567944252},
{Epoch 9, Train_Loss: 0.002276195213198662, Valid_Loss: 4.918076515197754, Accuracy: 22.99651567944251},
{Epoch 10, Train_Loss: 0.039484817534685135, Valid_Loss: 4.995039939880371, Accuracy: 21.60278745644599},
{Epoch 11, Train_Loss: 0.005083782598376274, Valid_Loss: 5.398133277893066, Accuracy: 24.738675958188153},
{Epoch 12, Train_Loss: 0.0028908937238156796, Valid_Loss: 5.0220417976379395, Accuracy: 25.087108013937282},
{Epoch 13, Train_Loss: 0.009705311618745327, Valid_Loss: 5.35654878616333, Accuracy: 23.693379790940767},
{Epoch 14, Train_Loss: 0.010983497835695744, Valid_Loss: 5.240970134735107, Accuracy: 24.738675958188153},
{Epoch 15, Train_Loss: 0.0017451092135161161, Valid_Loss: 5.228925704956055, Accuracy: 25.43554006968641},
{Epoch 16, Train_Loss: 0.012276860885322094, Valid_Loss: 5.085041522979736, Accuracy: 26.829268292682926},
{Epoch 17, Train_Loss: 0.005062659736722708, Valid_Loss: 5.321315288543701, Accuracy: 25.087108013937282},
{Epoch 18, Train_Loss: 0.0021564438939094543, Valid_Loss: 5.143370628356934, Accuracy: 24.738675958188153},
{Epoch 19, Train_Loss: 0.002989082131534815, Valid_Loss: 5.350954532623291, Accuracy: 24.390243902439025},
{Epoch 20, Train_Loss: 0.0023315700236707926, Valid_Loss: 5.660254955291748, Accuracy: 24.041811846689896},
{Epoch 21, Train_Loss: 0.0013375161215662956, Valid_Loss: 5.054182529449463, Accuracy: 24.390243902439025},
